grid_id, tile_id
0,-150|-150
0,-150|-149
0,-150|-148
0,-150|-147
0,-150|-146
0,-149|-150
0,-149|-149
0,-149|-148
0,-149|-147
0,-149|-146
0,-148|-150
0,-148|-149
0,-148|-148
0,-148|-147
0,-148|-146
0,-147|-150
0,-147|-149
0,-147|-148
0,-147|-147
0,-147|-146
0,-146|-150
0,-146|-149
0,-146|-148
0,-146|-147
0,-146|-146
1,-150|-145
1,-150|-144
1,-150|-143
1,-150|-142
1,-150|-141
1,-149|-145
1,-149|-144
1,-149|-143
1,-149|-142
1,-149|-141
1,-148|-145
1,-148|-144
1,-148|-143
1,-148|-142
1,-148|-141
1,-147|-145
1,-147|-144
1,-147|-143
1,-147|-142
1,-147|-141
1,-146|-145
1,-146|-144
1,-146|-143
1,-146|-142
1,-146|-141
2,-150|-140
2,-150|-139
2,-150|-138
2,-150|-137
2,-150|-136
2,-149|-140
2,-149|-139
2,-149|-138
2,-149|-137
2,-149|-136
2,-148|-140
2,-148|-139
2,-148|-138
2,-148|-137
2,-148|-136
2,-147|-140
2,-147|-139
2,-147|-138
2,-147|-137
2,-147|-136
2,-146|-140
2,-146|-139
2,-146|-138
2,-146|-137
2,-146|-136
3,-150|-135
3,-150|-134
3,-150|-133
3,-150|-132
3,-150|-131
3,-149|-135
3,-149|-134
3,-149|-133
3,-149|-132
3,-149|-131
3,-148|-135
3,-148|-134
3,-148|-133
3,-148|-132
3,-148|-131
3,-147|-135
3,-147|-134
3,-147|-133
3,-147|-132
3,-147|-131
3,-146|-135
3,-146|-134
3,-146|-133
3,-146|-132
3,-146|-131
4,-150|-130
4,-150|-129
4,-150|-128
4,-150|-127
4,-150|-126
4,-149|-130
4,-149|-129
4,-149|-128
4,-149|-127
4,-149|-126
4,-148|-130
4,-148|-129
4,-148|-128
4,-148|-127
4,-148|-126
4,-147|-130
4,-147|-129
4,-147|-128
4,-147|-127
4,-147|-126
4,-146|-130
4,-146|-129
4,-146|-128
4,-146|-127
4,-146|-126
5,-150|-125
5,-150|-124
5,-150|-123
5,-150|-122
5,-150|-121
5,-149|-125
5,-149|-124
5,-149|-123
5,-149|-122
5,-149|-121
5,-148|-125
5,-148|-124
5,-148|-123
5,-148|-122
5,-148|-121
5,-147|-125
5,-147|-124
5,-147|-123
5,-147|-122
5,-147|-121
5,-146|-125
5,-146|-124
5,-146|-123
5,-146|-122
5,-146|-121
6,-150|-120
6,-150|-119
6,-150|-118
6,-150|-117
6,-150|-116
6,-149|-120
6,-149|-119
6,-149|-118
6,-149|-117
6,-149|-116
6,-148|-120
6,-148|-119
6,-148|-118
6,-148|-117
6,-148|-116
6,-147|-120
6,-147|-119
6,-147|-118
6,-147|-117
6,-147|-116
6,-146|-120
6,-146|-119
6,-146|-118
6,-146|-117
6,-146|-116
7,-150|-115
7,-150|-114
7,-150|-113
7,-150|-112
7,-150|-111
7,-149|-115
7,-149|-114
7,-149|-113
7,-149|-112
7,-149|-111
